datetime,load,t1,t2,t3,t5,t9,t16,mean_temp,hr,month,is_holiday,is_weekend,mean_temp_lag1hr,mean_temp_lag2hr,load_lag1hr,load_lag2hr
2005-01-01 01:00:00,156.545,43,46,40,48,45,53,46.18181818181818,1,1,0,1,46.18181818181818,46.18181818181818,156.545,156.545
2005-01-01 02:00:00,147.924,41,46,38,48,42,53,46.31818181818182,2,1,0,1,46.18181818181818,46.18181818181818,156.545,156.545
2005-01-01 03:00:00,141.037,40,46,37,45,43,52,45.27272727272727,3,1,0,1,46.31818181818182,46.18181818181818,147.924,156.545
2005-01-01 04:00:00,139.125,39,46,37,48,42,52,45.5,4,1,0,1,45.27272727272727,46.31818181818182,141.037,147.924
2005-01-01 05:00:00,140.482,38,46,37,48,42,51,45.0,5,1,0,1,45.5,45.27272727272727,139.125,141.037
2005-01-01 06:00:00,144.726,37,45,36,48,40,50,44.04545454545455,6,1,0,1,45.0,45.5,140.482,139.125
2005-01-01 07:00:00,151.682,37,45,37,48,41,50,44.13636363636363,7,1,0,1,44.04545454545455,45.0,144.726,140.482
2005-01-01 08:00:00,160.795,36,43,37,48,40,51,44.68181818181818,8,1,0,1,44.13636363636363,44.04545454545455,151.682,144.726
2005-01-01 09:00:00,176.263,36,52,38,48,43,54,48.68181818181818,9,1,0,1,44.68181818181818,44.13636363636363,160.795,151.682
2005-01-01 10:00:00,179.873,44,55,43,55,51,55,54.45454545454545,10,1,0,1,48.68181818181818,44.68181818181818,176.263,160.795
2005-01-01 11:00:00,177.61,51,61,54,61,62,56,59.40909090909091,11,1,0,1,54.45454545454545,48.68181818181818,179.873,176.263
2005-01-01 12:00:00,173.02,56,66,60,70,63,57,63.81818181818182,12,1,0,1,59.40909090909091,54.45454545454545,177.61,179.873
2005-01-01 13:00:00,163.495,61,66,64,70,63,57,66.95454545454545,13,1,0,1,63.81818181818182,59.40909090909091,173.02,177.61
2005-01-01 14:00:00,154.555,64,66,66,70,64,56,68.4090909090909,14,1,0,1,66.95454545454545,63.81818181818182,163.495,173.02
2005-01-01 15:00:00,148.92,66,72,66,70,64,56,68.86363636363636,15,1,0,1,68.4090909090909,66.95454545454545,154.555,163.495
2005-01-01 16:00:00,147.001,66,66,65,70,63,56,68.27272727272727,16,1,0,1,68.86363636363636,68.4090909090909,148.92,154.555
2005-01-01 17:00:00,151.095,66,63,64,68,63,54,64.5909090909091,17,1,0,1,68.27272727272727,68.86363636363636,147.001,148.92
2005-01-01 18:00:00,173.793,62,57,61,59,61,51,59.36363636363637,18,1,0,1,64.5909090909091,68.27272727272727,151.095,147.001
2005-01-01 19:00:00,190.031,58,54,58,55,61,50,55.90909090909091,19,1,0,1,59.36363636363637,64.5909090909091,173.793,151.095
2005-01-01 20:00:00,185.218,55,52,57,55,59,47,53.59090909090909,20,1,0,1,55.90909090909091,59.36363636363637,190.031,173.793
2005-01-01 21:00:00,177.967,54,48,55,54,57,46,51.72727272727273,21,1,0,1,53.59090909090909,55.90909090909091,185.218,190.031
2005-01-01 22:00:00,169.502,52,46,50,54,55,47,50.63636363636363,22,1,0,1,51.72727272727273,53.59090909090909,177.967,185.218
2005-01-01 23:00:00,155.938,51,46,48,48,55,46,49.04545454545455,23,1,0,1,50.63636363636363,51.72727272727273,169.502,177.967
2005-01-02 00:00:00,139.258,51,46,45,54,55,46,48.68181818181818,0,1,0,1,49.04545454545455,50.63636363636363,155.938,169.502
2005-01-02 01:00:00,125.346,50,46,43,48,54,49,47.90909090909091,1,1,0,1,48.68181818181818,49.04545454545455,139.258,155.938
2005-01-02 02:00:00,118.416,48,46,42,48,52,48,46.77272727272727,2,1,0,1,47.90909090909091,48.68181818181818,125.346,139.258
2005-01-02 03:00:00,116.78,47,46,39,48,52,50,46.36363636363637,3,1,0,1,46.77272727272727,47.90909090909091,118.416,125.346
2005-01-02 04:00:00,118.143,46,46,40,46,48,49,45.04545454545455,4,1,0,1,46.36363636363637,46.77272727272727,116.78,118.416
2005-01-02 05:00:00,122.795,46,45,39,48,48,52,44.36363636363637,5,1,0,1,45.04545454545455,46.36363636363637,118.143,116.78
2005-01-02 06:00:00,129.928,45,43,37,46,48,55,44.0,6,1,0,1,44.36363636363637,45.04545454545455,122.795,118.143
2005-01-02 07:00:00,143.2,44,43,38,45,48,55,44.40909090909091,7,1,0,1,44.0,44.36363636363637,129.928,122.795
2005-01-02 08:00:00,163.824,44,43,39,43,50,57,45.04545454545455,8,1,0,1,44.40909090909091,44.0,143.2,129.928
2005-01-02 09:00:00,189.415,44,48,40,52,52,59,49.22727272727273,9,1,0,1,45.04545454545455,44.40909090909091,163.824,143.2
2005-01-02 10:00:00,188.124,51,52,44,61,52,63,55.36363636363637,10,1,0,1,49.22727272727273,45.04545454545455,189.415,163.824
2005-01-02 11:00:00,169.805,57,57,50,66,55,65,60.40909090909091,11,1,0,1,55.36363636363637,49.22727272727273,188.124,189.415
2005-01-02 12:00:00,155.386,62,61,55,70,61,67,63.36363636363637,12,1,0,1,60.40909090909091,55.36363636363637,169.805,188.124
2005-01-02 13:00:00,152.769,65,61,61,72,63,64,65.45454545454545,13,1,0,1,63.36363636363637,60.40909090909091,155.386,169.805
2005-01-02 14:00:00,148.993,68,61,61,73,63,65,65.86363636363636,14,1,0,1,65.45454545454545,63.36363636363637,152.769,155.386
2005-01-02 15:00:00,143.25,70,61,61,73,61,62,65.9090909090909,15,1,0,1,65.86363636363636,65.45454545454545,148.993,152.769
2005-01-02 16:00:00,140.381,70,61,62,73,61,61,65.27272727272727,16,1,0,1,65.9090909090909,65.86363636363636,143.25,148.993
2005-01-02 17:00:00,144.44,70,61,60,70,57,59,62.54545454545455,17,1,0,1,65.27272727272727,65.9090909090909,140.381,143.25
2005-01-02 18:00:00,172.0,66,54,57,61,57,52,58.22727272727273,18,1,0,1,62.54545454545455,65.27272727272727,144.44,140.381
2005-01-02 19:00:00,193.696,61,55,56,59,55,54,55.90909090909091,19,1,0,1,58.22727272727273,62.54545454545455,172.0,144.44
2005-01-02 20:00:00,193.642,58,54,55,55,55,53,53.86363636363637,20,1,0,1,55.90909090909091,58.22727272727273,193.696,172.0
2005-01-02 21:00:00,187.023,56,52,52,54,55,54,53.13636363636363,21,1,0,1,53.86363636363637,55.90909090909091,193.642,193.696
2005-01-02 22:00:00,175.177,54,48,51,50,55,57,51.27272727272727,22,1,0,1,53.13636363636363,53.86363636363637,187.023,193.642
2005-01-02 23:00:00,155.832,53,48,47,50,55,50,50.45454545454545,23,1,0,1,51.27272727272727,53.13636363636363,175.177,187.023
2005-01-03 00:00:00,135.549,52,46,46,48,54,52,49.04545454545455,0,1,0,0,50.45454545454545,51.27272727272727,155.832,175.177
2005-01-03 01:00:00,122.339,51,46,45,48,54,55,47.31818181818182,1,1,0,0,49.04545454545455,50.45454545454545,135.549,155.832
2005-01-03 02:00:00,118.007,49,46,45,48,54,55,47.31818181818182,2,1,0,0,47.31818181818182,49.04545454545455,122.339,135.549
2005-01-03 03:00:00,118.395,48,46,42,46,52,53,46.27272727272727,3,1,0,0,47.31818181818182,47.31818181818182,118.007,122.339
2005-01-03 04:00:00,121.96,47,45,42,46,52,54,45.5,4,1,0,0,46.27272727272727,47.31818181818182,118.395,118.007
2005-01-03 05:00:00,130.08,46,46,40,45,54,56,45.63636363636363,5,1,0,0,45.5,46.27272727272727,121.96,118.395
2005-01-03 06:00:00,149.409,45,46,41,43,55,56,45.36363636363637,6,1,0,0,45.63636363636363,45.5,130.08,121.96
2005-01-03 07:00:00,175.835,44,46,41,43,55,55,45.45454545454545,7,1,0,0,45.36363636363637,45.63636363636363,149.409,130.08
2005-01-03 08:00:00,182.662,44,46,40,43,55,52,45.68181818181818,8,1,0,0,45.45454545454545,45.36363636363637,175.835,149.409
2005-01-03 09:00:00,178.082,44,52,41,52,55,56,50.40909090909091,9,1,0,0,45.68181818181818,45.45454545454545,182.662,175.835
2005-01-03 10:00:00,173.236,51,54,48,61,57,62,54.86363636363637,10,1,0,0,50.40909090909091,45.68181818181818,178.082,182.662
2005-01-03 11:00:00,163.255,57,61,54,68,59,63,60.90909090909091,11,1,0,0,54.86363636363637,50.40909090909091,173.236,178.082
2005-01-03 12:00:00,155.088,62,66,60,70,63,64,64.86363636363636,12,1,0,0,60.90909090909091,54.86363636363637,163.255,173.236
2005-01-03 13:00:00,149.04,65,67,63,70,64,60,67.13636363636364,13,1,0,0,64.86363636363636,60.90909090909091,155.088,163.255
2005-01-03 14:00:00,142.998,68,67,62,71,64,61,67.81818181818181,14,1,0,0,67.13636363636364,64.86363636363636,149.04,155.088
2005-01-03 15:00:00,139.973,70,68,63,71,64,59,67.72727272727273,15,1,0,0,67.81818181818181,67.13636363636364,142.998,149.04
2005-01-03 16:00:00,139.375,70,66,62,72,63,57,66.95454545454545,16,1,0,0,67.72727272727273,67.81818181818181,139.973,142.998
2005-01-03 17:00:00,147.925,70,66,61,70,61,56,63.95454545454545,17,1,0,0,66.95454545454545,67.72727272727273,139.375,139.973
2005-01-03 18:00:00,176.941,66,63,59,63,61,54,61.22727272727273,18,1,0,0,63.95454545454545,66.95454545454545,147.925,139.375
2005-01-03 19:00:00,206.153,62,57,57,61,57,55,59.81818181818182,19,1,0,0,61.22727272727273,63.95454545454545,176.941,147.925
2005-01-03 20:00:00,207.321,59,61,57,61,57,56,58.72727272727273,20,1,0,0,59.81818181818182,61.22727272727273,206.153,176.941
2005-01-03 21:00:00,198.564,57,61,54,55,57,56,58.45454545454545,21,1,0,0,58.72727272727273,59.81818181818182,207.321,206.153
2005-01-03 22:00:00,181.833,56,61,51,55,55,56,57.5,22,1,0,0,58.45454545454545,58.72727272727273,198.564,207.321
2005-01-03 23:00:00,156.097,55,61,52,54,57,55,56.45454545454545,23,1,0,0,57.5,58.45454545454545,181.833,198.564
2005-01-04 00:00:00,130.021,54,59,53,54,59,56,56.81818181818182,0,1,0,0,56.45454545454545,57.5,156.097,181.833
2005-01-04 01:00:00,112.989,53,59,53,54,61,56,56.54545454545455,1,1,0,0,56.81818181818182,56.45454545454545,130.021,156.097
2005-01-04 02:00:00,106.235,51,59,49,54,61,54,56.5,2,1,0,0,56.54545454545455,56.81818181818182,112.989,130.021
2005-01-04 03:00:00,104.199,50,57,48,54,61,54,56.31818181818182,3,1,0,0,56.5,56.54545454545455,106.235,112.989
2005-01-04 04:00:00,104.42,50,59,46,54,61,55,56.18181818181818,4,1,0,0,56.31818181818182,56.5,104.199,106.235
2005-01-04 05:00:00,110.352,49,57,44,54,61,56,55.77272727272727,5,1,0,0,56.18181818181818,56.31818181818182,104.42,104.199
2005-01-04 06:00:00,130.518,48,57,48,54,61,55,55.59090909090909,6,1,0,0,55.77272727272727,56.18181818181818,110.352,104.42
2005-01-04 07:00:00,165.65,47,59,46,54,61,55,55.31818181818182,7,1,0,0,55.59090909090909,55.77272727272727,130.518,110.352
2005-01-04 08:00:00,170.033,47,59,48,54,61,55,55.72727272727273,8,1,0,0,55.31818181818182,55.59090909090909,165.65,130.518
2005-01-04 09:00:00,153.113,47,63,48,59,61,56,58.09090909090909,9,1,0,0,55.72727272727273,55.31818181818182,170.033,165.65
2005-01-04 10:00:00,144.468,53,66,54,66,63,56,62.18181818181818,10,1,0,0,58.09090909090909,55.72727272727273,153.113,170.033
2005-01-04 11:00:00,138.553,58,72,60,68,63,55,66.18181818181819,11,1,0,0,62.18181818181818,58.09090909090909,144.468,153.113
2005-01-04 12:00:00,135.031,63,72,65,71,61,58,69.9090909090909,12,1,0,0,66.18181818181819,62.18181818181818,138.553,144.468
2005-01-04 13:00:00,133.268,66,73,69,73,63,57,71.45454545454545,13,1,0,0,69.9090909090909,66.18181818181819,135.031,138.553
2005-01-04 14:00:00,131.919,68,77,70,75,63,59,72.86363636363636,14,1,0,0,71.45454545454545,69.9090909090909,133.268,135.031
2005-01-04 15:00:00,131.724,70,75,69,77,63,58,72.9090909090909,15,1,0,0,72.86363636363636,71.45454545454545,131.919,133.268
2005-01-04 16:00:00,134.757,70,73,69,75,63,57,72.45454545454545,16,1,0,0,72.9090909090909,72.86363636363636,131.724,131.919
2005-01-04 17:00:00,141.92,70,68,67,72,63,56,69.36363636363636,17,1,0,0,72.45454545454545,72.9090909090909,134.757,131.724
2005-01-04 18:00:00,169.484,67,63,64,70,61,57,64.27272727272727,18,1,0,0,69.36363636363636,72.45454545454545,141.92,134.757
2005-01-04 19:00:00,198.253,64,59,62,63,61,56,62.77272727272727,19,1,0,0,64.27272727272727,69.36363636363636,169.484,141.92
2005-01-04 20:00:00,199.114,62,57,60,61,61,56,62.04545454545455,20,1,0,0,62.77272727272727,64.27272727272727,198.253,169.484
2005-01-04 21:00:00,192.287,61,57,59,61,61,55,61.36363636363637,21,1,0,0,62.04545454545455,62.77272727272727,199.114,198.253
2005-01-04 22:00:00,174.515,60,57,59,59,61,55,60.40909090909091,22,1,0,0,61.36363636363637,62.04545454545455,192.287,199.114
2005-01-04 23:00:00,149.467,59,61,56,59,57,55,60.13636363636363,23,1,0,0,60.40909090909091,61.36363636363637,174.515,192.287
2005-01-05 00:00:00,121.726,58,61,57,59,57,55,59.59090909090909,0,1,0,0,60.13636363636363,60.40909090909091,149.467,174.515
2005-01-05 01:00:00,104.565,57,59,51,59,55,55,58.77272727272727,1,1,0,0,59.59090909090909,60.13636363636363,121.726,149.467
2005-01-05 02:00:00,96.84,56,59,51,55,55,56,57.72727272727273,2,1,0,0,58.77272727272727,59.59090909090909,104.565,121.726
2005-01-05 03:00:00,94.634,56,61,48,55,55,55,56.27272727272727,3,1,0,0,57.72727272727273,58.77272727272727,96.84,104.565
2005-01-05 04:00:00,95.623,55,59,45,55,55,55,55.68181818181818,4,1,0,0,56.27272727272727,57.72727272727273,94.634,96.84
2005-01-05 05:00:00,102.136,54,59,42,55,57,55,55.45454545454545,5,1,0,0,55.68181818181818,56.27272727272727,95.623,94.634
2005-01-05 06:00:00,124.298,54,59,43,55,57,56,55.54545454545455,6,1,0,0,55.45454545454545,55.68181818181818,102.136,95.623
2005-01-05 07:00:00,163.341,53,57,41,55,57,55,55.0,7,1,0,0,55.54545454545455,55.45454545454545,124.298,102.136
2005-01-05 08:00:00,166.844,53,57,41,55,57,55,55.45454545454545,8,1,0,0,55.0,55.54545454545455,163.341,124.298
2005-01-05 09:00:00,149.561,53,61,42,61,61,57,58.27272727272727,9,1,0,0,55.45454545454545,55.0,166.844,163.341
2005-01-05 10:00:00,140.662,59,66,47,66,61,58,62.09090909090909,10,1,0,0,58.27272727272727,55.45454545454545,149.561,166.844
2005-01-05 11:00:00,135.669,64,66,50,70,63,59,65.13636363636364,11,1,0,0,62.09090909090909,58.27272727272727,140.662,149.561
2005-01-05 12:00:00,132.079,68,72,54,73,64,59,67.54545454545455,12,1,0,0,65.13636363636364,62.09090909090909,135.669,140.662
2005-01-05 13:00:00,130.654,71,72,59,73,63,60,68.45454545454545,13,1,0,0,67.54545454545455,65.13636363636364,132.079,135.669
2005-01-05 14:00:00,127.779,73,73,62,73,63,61,68.95454545454545,14,1,0,0,68.45454545454545,67.54545454545455,130.654,132.079
2005-01-05 15:00:00,126.039,75,72,64,73,63,60,68.4090909090909,15,1,0,0,68.95454545454545,68.45454545454545,127.779,130.654
2005-01-05 16:00:00,129.564,75,72,65,73,63,58,67.5909090909091,16,1,0,0,68.4090909090909,68.95454545454545,126.039,127.779
2005-01-05 17:00:00,139.329,75,66,62,72,61,57,64.9090909090909,17,1,0,0,67.5909090909091,68.4090909090909,129.564,126.039
2005-01-05 18:00:00,169.886,72,63,60,66,59,57,62.0,18,1,0,0,64.9090909090909,67.5909090909091,139.329,129.564
2005-01-05 19:00:00,197.035,67,63,57,63,57,57,59.95454545454545,19,1,0,0,62.0,64.9090909090909,169.886,139.329
2005-01-05 20:00:00,195.727,65,64,57,61,57,57,59.40909090909091,20,1,0,0,59.95454545454545,62.0,197.035,169.886
2005-01-05 21:00:00,189.599,63,59,55,59,55,57,58.95454545454545,21,1,0,0,59.40909090909091,59.95454545454545,195.727,197.035
2005-01-05 22:00:00,176.341,62,57,55,59,55,57,58.72727272727273,22,1,0,0,58.95454545454545,59.40909090909091,189.599,195.727
2005-01-05 23:00:00,150.423,61,57,55,61,55,57,58.40909090909091,23,1,0,0,58.72727272727273,58.95454545454545,176.341,189.599
2005-01-06 00:00:00,123.757,60,61,54,61,55,57,58.22727272727273,0,1,0,0,58.40909090909091,58.72727272727273,150.423,176.341
2005-01-06 01:00:00,107.946,59,61,52,59,55,57,57.86363636363637,1,1,0,0,58.22727272727273,58.40909090909091,123.757,150.423
2005-01-06 02:00:00,102.144,57,61,53,59,55,56,57.59090909090909,2,1,0,0,57.86363636363637,58.22727272727273,107.946,123.757
2005-01-06 03:00:00,99.825,56,59,54,59,55,57,57.36363636363637,3,1,0,0,57.59090909090909,57.86363636363637,102.144,107.946
2005-01-06 04:00:00,100.859,55,57,56,59,52,57,57.63636363636363,4,1,0,0,57.36363636363637,57.59090909090909,99.825,102.144
2005-01-06 05:00:00,107.084,55,57,57,59,55,58,58.04545454545455,5,1,0,0,57.63636363636363,57.36363636363637,100.859,99.825
2005-01-06 06:00:00,127.78,54,57,58,59,52,58,58.0,6,1,0,0,58.04545454545455,57.63636363636363,107.084,100.859
2005-01-06 07:00:00,166.032,53,57,58,61,54,59,58.09090909090909,7,1,0,0,58.0,58.04545454545455,127.78,107.084
2005-01-06 08:00:00,169.466,53,57,57,61,55,58,58.27272727272727,8,1,0,0,58.09090909090909,58.0,166.032,127.78
2005-01-06 09:00:00,150.995,53,61,57,63,55,59,60.13636363636363,9,1,0,0,58.27272727272727,58.09090909090909,169.466,166.032
2005-01-06 10:00:00,145.449,58,66,60,70,61,59,62.54545454545455,10,1,0,0,60.13636363636363,58.27272727272727,150.995,169.466
2005-01-06 11:00:00,141.949,62,72,60,73,61,60,64.9090909090909,11,1,0,0,62.54545454545455,60.13636363636363,145.449,150.995
2005-01-06 12:00:00,138.987,65,72,57,73,61,60,67.22727272727273,12,1,0,0,64.9090909090909,62.54545454545455,141.949,145.449
2005-01-06 13:00:00,135.396,68,72,55,77,57,62,68.13636363636364,13,1,0,0,67.22727272727273,64.9090909090909,138.987,141.949
2005-01-06 14:00:00,132.923,70,72,55,79,63,63,68.4090909090909,14,1,0,0,68.13636363636364,67.22727272727273,135.396,138.987
2005-01-06 15:00:00,131.465,71,73,56,77,61,62,68.27272727272727,15,1,0,0,68.4090909090909,68.13636363636364,132.923,135.396
2005-01-06 16:00:00,137.457,71,72,58,77,57,61,67.86363636363636,16,1,0,0,68.27272727272727,68.4090909090909,131.465,132.923
2005-01-06 17:00:00,149.239,71,72,56,73,55,61,66.13636363636364,17,1,0,0,67.86363636363636,68.27272727272727,137.457,131.465
2005-01-06 18:00:00,174.788,68,72,54,72,54,60,65.4090909090909,18,1,0,0,66.13636363636364,67.86363636363636,149.239,137.457
2005-01-06 19:00:00,197.42,63,72,52,70,55,61,64.68181818181819,19,1,0,0,65.4090909090909,66.13636363636364,174.788,149.239
2005-01-06 20:00:00,198.447,61,72,51,70,52,62,64.0,20,1,0,0,64.68181818181819,65.4090909090909,197.42,174.788
2005-01-06 21:00:00,193.57,59,72,49,66,52,62,63.22727272727273,21,1,0,0,64.0,64.68181818181819,198.447,197.42
2005-01-06 22:00:00,177.003,58,68,49,64,52,62,62.40909090909091,22,1,0,0,63.22727272727273,64.0,193.57,198.447
2005-01-06 23:00:00,152.605,57,66,48,66,50,62,61.22727272727273,23,1,0,0,62.40909090909091,63.22727272727273,177.003,193.57
2005-01-07 00:00:00,128.032,56,66,46,63,50,61,60.04545454545455,0,1,0,0,61.22727272727273,62.40909090909091,152.605,177.003
2005-01-07 01:00:00,111.621,55,66,46,63,48,60,59.27272727272727,1,1,0,0,60.04545454545455,61.22727272727273,128.032,152.605
2005-01-07 02:00:00,105.98,53,66,45,63,46,60,58.31818181818182,2,1,0,0,59.27272727272727,60.04545454545455,111.621,128.032
2005-01-07 03:00:00,104.822,52,66,44,63,46,59,56.90909090909091,3,1,0,0,58.31818181818182,59.27272727272727,105.98,111.621
2005-01-07 04:00:00,106.6,51,63,43,63,46,59,55.54545454545455,4,1,0,0,56.90909090909091,58.31818181818182,104.822,105.98
2005-01-07 05:00:00,113.536,51,59,42,61,46,58,54.22727272727273,5,1,0,0,55.54545454545455,56.90909090909091,106.6,104.822
2005-01-07 06:00:00,136.573,50,57,41,59,46,58,52.13636363636363,6,1,0,0,54.22727272727273,55.54545454545455,113.536,106.6
2005-01-07 07:00:00,178.342,49,52,41,59,45,58,50.5,7,1,0,0,52.13636363636363,54.22727272727273,136.573,113.536
2005-01-07 08:00:00,184.53,49,52,42,59,45,59,49.36363636363637,8,1,0,0,50.5,52.13636363636363,178.342,136.573
2005-01-07 09:00:00,165.119,49,57,43,61,45,61,53.27272727272727,9,1,0,0,49.36363636363637,50.5,184.53,178.342
2005-01-07 10:00:00,158.12,55,57,44,68,46,58,56.54545454545455,10,1,0,0,53.27272727272727,49.36363636363637,165.119,184.53
2005-01-07 11:00:00,150.052,60,59,47,70,52,58,58.45454545454545,11,1,0,0,56.54545454545455,53.27272727272727,158.12,165.119
2005-01-07 12:00:00,143.043,65,59,48,72,55,59,59.90909090909091,12,1,0,0,58.45454545454545,56.54545454545455,150.052,158.12
2005-01-07 13:00:00,139.199,68,59,49,73,55,58,60.81818181818182,13,1,0,0,59.90909090909091,58.45454545454545,143.043,150.052
2005-01-07 14:00:00,134.826,70,59,52,73,52,58,61.72727272727273,14,1,0,0,60.81818181818182,59.90909090909091,139.199,143.043
2005-01-07 15:00:00,131.926,72,57,55,73,52,57,61.09090909090909,15,1,0,0,61.72727272727273,60.81818181818182,134.826,139.199
2005-01-07 16:00:00,134.451,72,57,57,73,52,54,60.18181818181818,16,1,0,0,61.09090909090909,61.72727272727273,131.926,134.826
